date,category,buy_value,sell_value,net_value,category,buy_value,sell_value,net_value
14-01-2026,DII,29795,-22442,7353,FII/FPI,35392,-41832,-6440
15-01-2026,DII,19071,-14110,4961,FII/FPI,18450,-21208,-2758
16-01-2026,DII,85286,-72784,12502,FII/FPI,71683,-84066,-12383
19-01-2026,DII,24685,-16760,7925,FII/FPI,24128,-28298,-4170
20-01-2026,DII,44865,-51190,-6325,FII/FPI,50854,-61618,-10764
21-01-2026,DII,85731,-100143,-14412,FII/FPI,37127,-42459,-5332
22-01-2026,DII,48017,-38279,9738,FII/FPI,19023,-22681,-3658
23-01-2026,DII,55577,-66867,-11290,FII/FPI,26175,-33400,-7225
27-01-2026,DII,18976,-14757,4219,FII/FPI,29693,-38780,-9087
28-01-2026,DII,34575,-28600,5975,FII/FPI,64912,-74532,-9620
29-01-2026,DII,24346,-17787,6559,FII/FPI,49683,-57471,-7788
30-01-2026,DII,46774,-36959,9815,FII/FPI,17430,-19642,-2212
02-02-2026,DII,54653,-65402,-10749,FII/FPI,4283,-4974,-691
03-02-2026,DII,20356,-16481,3875,FII/FPI,14713,-17122,-2409
04-02-2026,DII,40134,-30767,9367,FII/FPI,11838,-14077,-2239
05-02-2026,DII,18043,-13476,4567,FII/FPI,6942,-8227,-1285
06-02-2026,DII,18839,-15651,3188,FII/FPI,9812,-11121,-1309
09-02-2026,DII,8327,-6575,1752,FII/FPI,3684,-4184,-500
10-02-2026,DII,5334,-3695,1639,FII/FPI,4239,-5111,-872
11-02-2026,DII,10805,-9463,1342,FII/FPI,1679,-1294,385
12-02-2026,DII,16148,-14053,2095,FII/FPI,10014,-11452,-1438
13-02-2026,DII,24715,-20548,4167,FII/FPI,9190,-10719,-1529
16-02-2026,DII,76885,-65409,11476,FII/FPI,13903,-15897,-1994
17-02-2026,DII,27824,-23155,4669,FII/FPI,7638,-9272,-1634
18-02-2026,DII,26943,-19000,7943,FII/FPI,3052,-3734,-682
19-02-2026,DII,14555,-11418,3137,FII/FPI,10028,-7954,2074
20-02-2026,DII,17499,-13131,4368,FII/FPI,12671,-14741,-2070
23-02-2026,DII,6438,-7883,-1445,FII/FPI,10399,-11794,-1395
24-02-2026,DII,23446,-28791,-5345,FII/FPI,4365,-5057,-692
25-02-2026,DII,13736,-15587,-1851,FII/FPI,13219,-14926,-1707
26-02-2026,DII,21630,-18607,3023,FII/FPI,9959,-11254,-1295
27-02-2026,DII,20407,-13833,6574,FII/FPI,6527,-8055,-1528
02-03-2026,DII,30471,-25670,4801,FII/FPI,30503,-35956,-5453
03-03-2026,DII,22807,-17174,5633,FII/FPI,18490,-21700,-3210
04-03-2026,DII,18953,-24864,-5911,FII/FPI,49452,-58841,-9389
05-03-2026,DII,12904,-10590,2314,FII/FPI,29624,-35792,-6168
06-03-2026,DII,10328,-8177,2151,FII/FPI,17769,-22645,-4876
09-03-2026,DII,7844,-5928,1916,FII/FPI,23239,-18375,4864
10-03-2026,DII,51502,-43606,7896,FII/FPI,44824,-52279,-7455
11-03-2026,DII,25854,-21422,4432,FII/FPI,26291,-31171,-4880
12-03-2026,DII,31306,-36376,-5070,FII/FPI,31328,-40927,-9599
13-03-2026,DII,21455,-25286,-3831,FII/FPI,20297,-26167,-5870
16-03-2026,DII,12560,-15010,-2450,FII/FPI,16444,-18873,-2429
17-03-2026,DII,42181,-36283,5898,FII/FPI,18174,-15376,2798
18-03-2026,DII,15138,-12006,3132,FII/FPI,21178,-26057,-4879
19-03-2026,DII,11654,-9012,2642,FII/FPI,19412,-23411,-3999
20-03-2026,DII,27927,-22176,5751,FII/FPI,15249,-19438,-4189
23-03-2026,DII,52431,-44183,8248,FII/FPI,27331,-33312,-5981
24-03-2026,DII,22095,-15656,6439,FII/FPI,19237,-22318,-3081
25-03-2026,DII,17831,-14208,3623,FII/FPI,6497,-8105,-1608
26-03-2026,DII,7221,-5920,1301,FII/FPI,24919,-21202,3717
27-03-2026,DII,26231,-22585,3646,FII/FPI,15219,-18969,-3750
30-03-2026,DII,26358.5,-11463.78,14894.72,FII/FPI,21952.95,-33116.01,-11163.06
01-04-2026,DII,18536.73,-11364.93,7171.8,FII/FPI,17958.07,-26289.22,-8331.15
02-04-2026,DII,18421.27,-11212.86,7208.41,FII/FPI,10626.52,-20557.65,-9931.13
07-04-2026,DII,20860.09,-12880.59,7979.5,FII/FPI,7953.46,-16645.57,-8692.11
09-04-2026,DII,15968.21,-15012.31,955.9,FII/FPI,15746.32,-17457.51,-1711.19
15-04-2026,DII,18499.57,-19068.55,-568.98,FII/FPI,18075.63,-17409.48,666.15
16-04-2026,DII,16538.08,-19965.83,-3427.75,FII/FPI,16209.44,-15827.08,382.36
17-04-2026,DII,17513.99,-22235.47,-4721.48,FII/FPI,16034.88,-15351.68,683.2
23-04-2026,DII,18498.19,-17556.84,941.35,FII/FPI,12829.12,-16083.83,-3254.71
24-04-2026,DII,21560.16,-16859.45,4700.71,FII/FPI,9837.2,-18665.07,-8827.87
27-04-2026,DII,19978.34,-15854.42,4123.92,FII/FPI,30263.32,-31414.8,-1151.48
28-04-2026,DII,18044.05,-16332.04,1712.01,FII/FPI,17231.5,-19335.24,-2103.74
