date,category,buy_value,sell_value,net_value
2007-01-06,DII,1122.01,802.17,319.84
2007-01-06,FII/FPI,2481.99,2108.61,373.38
2007-01-08,DII,1898.6,963.16,935.44
2007-01-08,FII/FPI,3620.82,4876.36,-1255.54
2007-01-10,DII,1251.99,2181.76,-929.77
2007-01-10,FII/FPI,4311.66,2589.92,1721.74
2007-01-11,DII,1929.4,1873.18,56.22
2007-01-11,FII/FPI,5389.86,5315.61,74.25
2007-02-04,DII,0.0,0.0,0.0
2007-02-04,FII/FPI,2010.8,2520.13,-509.33
2007-02-07,DII,788.08,874.79,-86.71
2007-02-07,FII/FPI,1746.34,1651.77,94.57
2007-02-08,DII,1055.76,773.19,282.57
2007-02-08,FII/FPI,1843.19,2381.16,-537.97
2007-02-11,DII,1324.79,880.05,444.74
2007-02-11,FII/FPI,3281.13,4511.99,-1230.86
2007-03-04,DII,0.0,0.0,0.0
2007-03-04,FII/FPI,2179.39,2185.4,-6.01
2007-03-05,DII,769.99,583.59,186.4
2007-03-05,FII/FPI,2811.79,2742.09,69.7
2007-03-07,DII,842.27,1013.01,-170.74
2007-03-07,FII/FPI,2413.09,1967.68,445.41
2007-03-08,DII,805.31,746.22,59.09
2007-03-08,FII/FPI,2210.6,2353.3,-142.7
2007-03-09,DII,769.64,786.16,-16.52
2007-03-09,FII/FPI,2437.42,2019.35,418.07
2007-03-10,DII,1219.08,1440.81,-221.73
2007-03-10,FII/FPI,7746.78,5084.72,2662.06
2007-03-12,DII,1440.0,990.49,449.51
2007-03-12,FII/FPI,5487.35,5526.6,-39.25
2007-04-04,DII,0.0,0.0,0.0
2007-04-04,FII/FPI,2126.12,2171.17,-45.05
2007-04-05,DII,695.99,396.89,299.1
2007-04-05,FII/FPI,1867.95,1999.27,-131.32
2007-04-06,DII,788.4,817.34,-28.94
2007-04-06,FII/FPI,1873.72,1784.93,88.79
2007-04-07,DII,882.59,1279.73,-397.14
2007-04-07,FII/FPI,2140.88,1417.03,723.85
2007-04-09,DII,827.58,759.6,67.98
2007-04-09,FII/FPI,1837.57,1489.37,348.2
2007-04-10,DII,923.34,1587.24,-663.9
2007-04-10,FII/FPI,4278.46,3821.18,457.28
2007-04-12,DII,1383.44,1267.13,116.31
2007-04-12,FII/FPI,3877.76,4210.62,-332.86
2007-04-13,DII,0.0,0.0,0.0
2007-04-13,FII/FPI,2662.56,2424.06,238.5
2007-04-16,DII,781.77,763.98,17.79
2007-04-16,FII/FPI,2323.96,2016.21,307.75
2007-04-17,DII,729.55,1039.74,-310.19
2007-04-17,FII/FPI,2450.75,2146.09,304.66
2007-04-18,DII,887.82,868.38,19.44
2007-04-18,FII/FPI,2173.88,1708.56,465.32
2007-04-19,DII,810.9,537.14,273.76
2007-04-19,FII/FPI,1801.53,2030.66,-229.13
2007-04-20,DII,907.47,777.6,129.87
2007-04-20,FII/FPI,2434.23,1811.72,622.51
2007-04-23,DII,771.77,514.05,257.72
2007-04-23,FII/FPI,1877.48,2019.97,-142.49
2007-04-24,DII,1313.67,1129.38,184.29
2007-04-24,FII/FPI,3258.31,2917.92,340.39
2007-04-25,DII,1060.12,973.73,86.39
2007-04-25,FII/FPI,3538.85,2757.6,781.25
2007-04-26,DII,1196.6,1374.63,-178.03
2007-04-26,FII/FPI,2816.25,2905.29,-89.04
2007-04-27,DII,793.2,617.23,175.97
2007-04-27,FII/FPI,1628.9,2006.85,-377.95
2007-05-04,DII,0.0,0.0,0.0
2007-05-04,FII/FPI,1632.16,1717.96,-85.8
2007-05-06,DII,786.84,739.05,47.79
2007-05-06,FII/FPI,1965.84,2114.14,-148.3
2007-05-07,DII,1348.37,1042.94,305.43
2007-05-07,FII/FPI,3173.62,3024.63,148.99
2007-05-09,DII,882.78,924.18,-41.4
2007-05-09,FII/FPI,2633.84,2296.85,336.99
2007-05-10,DII,1739.66,1941.27,-201.61
2007-05-10,FII/FPI,4557.73,3609.67,948.06
2007-05-11,DII,1679.43,1030.74,648.69
2007-05-11,FII/FPI,3851.03,4944.19,-1093.16
2007-05-12,DII,1454.28,1613.99,-159.71
2007-05-12,FII/FPI,5168.38,4688.2,480.18
2007-05-14,DII,769.03,767.24,1.79
2007-05-14,FII/FPI,1745.02,1830.34,-85.32
2007-05-15,DII,800.19,860.09,-59.9
2007-05-15,FII/FPI,1931.89,2215.52,-283.63
2007-05-16,DII,1360.92,957.43,403.49
2007-05-16,FII/FPI,2388.27,2633.42,-245.15
2007-05-17,DII,1626.5,991.84,634.66
2007-05-17,FII/FPI,3503.38,2985.63,517.75
2007-05-18,DII,798.98,740.93,58.05
2007-05-18,FII/FPI,2238.8,2182.16,56.64
2007-05-21,DII,1330.32,1072.39,257.93
2007-05-21,FII/FPI,2371.95,2189.29,182.66
2007-05-22,DII,1196.79,1324.61,-127.82
2007-05-22,FII/FPI,3095.1,2754.54,340.56
2007-05-23,DII,1034.78,946.84,87.94
2007-05-23,FII/FPI,2496.02,2399.44,96.58
2007-05-24,DII,889.29,1025.59,-136.3
2007-05-24,FII/FPI,1877.4,2037.71,-160.31
2007-05-25,DII,836.96,665.47,171.49
2007-05-25,FII/FPI,2498.54,2702.79,-204.25
2007-05-28,DII,1077.57,1002.83,46.94
2007-05-28,FII/FPI,1795.7,1615.05,180.65
2007-05-29,DII,848.24,972.38,-124.14
2007-05-29,FII/FPI,2172.71,1474.75,697.96
2007-05-30,DII,1349.85,787.98,561.87
2007-05-30,FII/FPI,2350.87,2949.38,-598.51
2007-05-31,DII,1340.53,1308.34,32.19
2007-05-31,FII/FPI,3287.23,3118.37,168.86
2007-06-06,DII,1126.64,771.2,355.44
2007-06-06,FII/FPI,2226.8,2457.77,-230.97
2007-06-07,DII,1164.47,1148.08,16.39
2007-06-07,FII/FPI,2843.63,2302.24,541.39
2007-06-08,DII,980.15,479.46,500.69
2007-06-08,FII/FPI,1638.28,3033.28,-1395.0
2007-06-09,DII,841.01,849.27,-8.26
2007-06-09,FII/FPI,2275.51,1964.14,311.37
2007-06-11,DII,1297.81,1091.25,206.56
2007-06-11,FII/FPI,4163.08,4155.46,7.62
2007-06-12,DII,1649.03,1421.49,227.54
2007-06-12,FII/FPI,4855.4,4363.3,492.1
2007-06-13,DII,863.21,531.73,331.48
2007-06-13,FII/FPI,1706.7,2000.86,-294.16
2007-06-14,DII,527.4,494.83,32.57
2007-06-14,FII/FPI,2610.38,2576.25,34.13
2007-06-15,DII,865.58,501.72,363.86
2007-06-15,FII/FPI,1947.69,1992.47,-44.78
2007-06-18,DII,778.67,408.67,370.0
2007-06-18,FII/FPI,1571.05,1659.41,-88.36
2007-06-19,DII,769.13,802.11,-32.98
2007-06-19,FII/FPI,2061.81,1890.1,171.71
2007-06-20,DII,894.26,790.13,104.13
2007-06-20,FII/FPI,2543.91,2301.62,242.29
2007-06-21,DII,1005.19,857.48,147.71
2007-06-21,FII/FPI,2328.05,2183.56,144.49
2007-06-22,DII,1314.72,802.42,512.3
2007-06-22,FII/FPI,2235.18,2263.41,-28.23
2007-06-25,DII,737.57,558.34,179.23
2007-06-25,FII/FPI,2672.02,2652.18,19.84
2007-06-26,DII,885.6,686.11,199.49
2007-06-26,FII/FPI,1812.99,2054.45,-241.46
2007-06-27,DII,748.75,504.65,244.1
2007-06-27,FII/FPI,2059.39,2626.72,-567.33
2007-06-28,DII,1145.29,1071.78,73.51
2007-06-28,FII/FPI,2768.23,3166.34,-398.11
2007-06-29,DII,1119.86,958.2,161.66
2007-06-29,FII/FPI,2654.42,2095.83,558.59
2007-07-05,DII,1645.69,1571.12,74.57
2007-07-05,FII/FPI,900.11,756.53,143.58
2007-07-06,DII,1037.22,753.41,283.81
2007-07-06,FII/FPI,1412.65,1699.82,-287.17
2007-07-08,DII,725.62,609.58,116.04
2007-07-08,FII/FPI,2195.64,2521.32,-325.68
2007-07-09,DII,846.88,946.31,-99.43
2007-07-09,FII/FPI,2173.45,1788.77,384.68
2007-07-11,DII,1103.07,1007.75,95.32
2007-07-11,FII/FPI,4197.83,3766.42,431.41
