date,category,buy_value,sell_value,net_value,category,buy_value,sell_value,net_value
06-01-2007,DII,1122.01,802.17,319.84,FII/FPI,2481.99,2108.61,373.38
08-01-2007,DII,1898.6,963.16,935.44,FII/FPI,3620.82,4876.36,-1255.54
10-01-2007,DII,1251.99,2181.76,-929.77,FII/FPI,4311.66,2589.92,1721.74
11-01-2007,DII,1929.4,1873.18,56.22,FII/FPI,5389.86,5315.61,74.25
04-02-2007,DII,0,0,0,FII/FPI,2010.8,2520.13,-509.33
07-02-2007,DII,788.08,874.79,-86.71,FII/FPI,1746.34,1651.77,94.57
08-02-2007,DII,1055.76,773.19,282.57,FII/FPI,1843.19,2381.16,-537.97
11-02-2007,DII,1324.79,880.05,444.74,FII/FPI,3281.13,4511.99,-1230.86
04-03-2007,DII,0,0,0,FII/FPI,2179.39,2185.4,-6.01
05-03-2007,DII,769.99,583.59,186.4,FII/FPI,2811.79,2742.09,69.7
07-03-2007,DII,842.27,1013.01,-170.74,FII/FPI,2413.09,1967.68,445.41
08-03-2007,DII,805.31,746.22,59.09,FII/FPI,2210.6,2353.3,-142.7
09-03-2007,DII,769.64,786.16,-16.52,FII/FPI,2437.42,2019.35,418.07
10-03-2007,DII,1219.08,1440.81,-221.73,FII/FPI,7746.78,5084.72,2662.06
12-03-2007,DII,1440,990.49,449.51,FII/FPI,5487.35,5526.6,-39.25
04-04-2007,DII,0,0,0,FII/FPI,2126.12,2171.17,-45.05
05-04-2007,DII,695.99,396.89,299.1,FII/FPI,1867.95,1999.27,-131.32
06-04-2007,DII,788.4,817.34,-28.94,FII/FPI,1873.72,1784.93,88.79
07-04-2007,DII,882.59,1279.73,-397.14,FII/FPI,2140.88,1417.03,723.85
09-04-2007,DII,827.58,759.6,67.98,FII/FPI,1837.57,1489.37,348.2
10-04-2007,DII,923.34,1587.24,-663.9,FII/FPI,4278.46,3821.18,457.28
12-04-2007,DII,1383.44,1267.13,116.31,FII/FPI,3877.76,4210.62,-332.86
13-04-2007,DII,0,0,0,FII/FPI,2662.56,2424.06,238.5
16-04-2007,DII,781.77,763.98,17.79,FII/FPI,2323.96,2016.21,307.75
17-04-2007,DII,729.55,1039.74,-310.19,FII/FPI,2450.75,2146.09,304.66
18-04-2007,DII,887.82,868.38,19.44,FII/FPI,2173.88,1708.56,465.32
19-04-2007,DII,810.9,537.14,273.76,FII/FPI,1801.53,2030.66,-229.13
20-04-2007,DII,907.47,777.6,129.87,FII/FPI,2434.23,1811.72,622.51
23-04-2007,DII,771.77,514.05,257.72,FII/FPI,1877.48,2019.97,-142.49
24-04-2007,DII,1313.67,1129.38,184.29,FII/FPI,3258.31,2917.92,340.39
25-04-2007,DII,1060.12,973.73,86.39,FII/FPI,3538.85,2757.6,781.25
26-04-2007,DII,1196.6,1374.63,-178.03,FII/FPI,2816.25,2905.29,-89.04
27-04-2007,DII,793.2,617.23,175.97,FII/FPI,1628.9,2006.85,-377.95
04-05-2007,DII,0,0,0,FII/FPI,1632.16,1717.96,-85.8
06-05-2007,DII,786.84,739.05,47.79,FII/FPI,1965.84,2114.14,-148.3
07-05-2007,DII,1348.37,1042.94,305.43,FII/FPI,3173.62,3024.63,148.99
09-05-2007,DII,882.78,924.18,-41.4,FII/FPI,2633.84,2296.85,336.99
10-05-2007,DII,1739.66,1941.27,-201.61,FII/FPI,4557.73,3609.67,948.06
11-05-2007,DII,1679.43,1030.74,648.69,FII/FPI,3851.03,4944.19,-1093.16
12-05-2007,DII,1454.28,1613.99,-159.71,FII/FPI,5168.38,4688.2,480.18
14-05-2007,DII,769.03,767.24,1.79,FII/FPI,1745.02,1830.34,-85.32
15-05-2007,DII,800.19,860.09,-59.9,FII/FPI,1931.89,2215.52,-283.63
16-05-2007,DII,1360.92,957.43,403.49,FII/FPI,2388.27,2633.42,-245.15
17-05-2007,DII,1626.5,991.84,634.66,FII/FPI,3503.38,2985.63,517.75
18-05-2007,DII,798.98,740.93,58.05,FII/FPI,2238.8,2182.16,56.64
21-05-2007,DII,1330.32,1072.39,257.93,FII/FPI,2371.95,2189.29,182.66
22-05-2007,DII,1196.79,1324.61,-127.82,FII/FPI,3095.1,2754.54,340.56
23-05-2007,DII,1034.78,946.84,87.94,FII/FPI,2496.02,2399.44,96.58
24-05-2007,DII,889.29,1025.59,-136.3,FII/FPI,1877.4,2037.71,-160.31
25-05-2007,DII,836.96,665.47,171.49,FII/FPI,2498.54,2702.79,-204.25
28-05-2007,DII,1077.57,1002.83,46.94,FII/FPI,1795.7,1615.05,180.65
29-05-2007,DII,848.24,972.38,-124.14,FII/FPI,2172.71,1474.75,697.96
30-05-2007,DII,1349.85,787.98,561.87,FII/FPI,2350.87,2949.38,-598.51
31-05-2007,DII,1340.53,1308.34,32.19,FII/FPI,3287.23,3118.37,168.86
06-06-2007,DII,1126.64,771.2,355.44,FII/FPI,2226.8,2457.77,-230.97
07-06-2007,DII,1164.47,1148.08,16.39,FII/FPI,2843.63,2302.24,541.39
08-06-2007,DII,980.15,479.46,500.69,FII/FPI,1638.28,3033.28,-1395
09-06-2007,DII,841.01,849.27,-8.26,FII/FPI,2275.51,1964.14,311.37
11-06-2007,DII,1297.81,1091.25,206.56,FII/FPI,4163.08,4155.46,7.62
12-06-2007,DII,1649.03,1421.49,227.54,FII/FPI,4855.4,4363.3,492.1
13-06-2007,DII,863.21,531.73,331.48,FII/FPI,1706.7,2000.86,-294.16
14-06-2007,DII,527.4,494.83,32.57,FII/FPI,2610.38,2576.25,34.13
15-06-2007,DII,865.58,501.72,363.86,FII/FPI,1947.69,1992.47,-44.78
18-06-2007,DII,778.67,408.67,370,FII/FPI,1571.05,1659.41,-88.36
19-06-2007,DII,769.13,802.11,-32.98,FII/FPI,2061.81,1890.1,171.71
20-06-2007,DII,894.26,790.13,104.13,FII/FPI,2543.91,2301.62,242.29
21-06-2007,DII,1005.19,857.48,147.71,FII/FPI,2328.05,2183.56,144.49
22-06-2007,DII,1314.72,802.42,512.3,FII/FPI,2235.18,2263.41,-28.23
25-06-2007,DII,737.57,558.34,179.23,FII/FPI,2672.02,2652.18,19.84
26-06-2007,DII,885.6,686.11,199.49,FII/FPI,1812.99,2054.45,-241.46
27-06-2007,DII,748.75,504.65,244.1,FII/FPI,2059.39,2626.72,-567.33
28-06-2007,DII,1145.29,1071.78,73.51,FII/FPI,2768.23,3166.34,-398.11
29-06-2007,DII,1119.86,958.2,161.66,FII/FPI,2654.42,2095.83,558.59
05-07-2007,DII,1645.69,1571.12,74.57,FII/FPI,900.11,756.53,143.58
06-07-2007,DII,1037.22,753.41,283.81,FII/FPI,1412.65,1699.82,-287.17
08-07-2007,DII,725.62,609.58,116.04,FII/FPI,2195.64,2521.32,-325.68
09-07-2007,DII,846.88,946.31,-99.43,FII/FPI,2173.45,1788.77,384.68
11-07-2007,DII,1103.07,1007.75,95.32,FII/FPI,4197.83,3766.42,431.41
12-07-2007,DII,1478.72,1139.08,339.64,FII/FPI,4426.24,4680.08,-253.84
13-07-2007,DII,1566.33,1391.96,174.37,FII/FPI,4470.11,3146.59,1323.52
16-07-2007,DII,826.37,1234.9,-408.53,FII/FPI,3008.72,2702.19,306.53
17-07-2007,DII,1100.52,1265.45,-164.93,FII/FPI,3387.42,3028.36,359.06
18-07-2007,DII,880.22,937.71,-57.49,FII/FPI,3109.15,2910.84,198.31
19-07-2007,DII,992.07,1141.08,-149.01,FII/FPI,3449.51,2797.43,652.08
20-07-2007,DII,846.78,1191.26,-344.48,FII/FPI,3996.49,2840.56,1155.93
23-07-2007,DII,754.52,953.47,-198.95,FII/FPI,3723.98,2698.41,1025.57
24-07-2007,DII,897.87,1208.47,-310.6,FII/FPI,4171.38,3100.67,1070.71
25-07-2007,DII,1198.24,1048.42,149.82,FII/FPI,3106.22,3141.69,-35.47
26-07-2007,DII,1270.02,1414.29,-144.27,FII/FPI,4457.35,4179.31,278.04
27-07-2007,DII,1970.85,1243.53,727.32,FII/FPI,3550.83,5025.83,-1475
30-07-2007,DII,1706.87,852.55,854.32,FII/FPI,1903.1,3020.45,-1117.35
31-07-2007,DII,1079.11,731.26,347.85,FII/FPI,2980.16,2945.53,34.63
05-08-2007,DII,964.75,1089.29,-124.54,FII/FPI,1628.57,1833.98,-205.41
06-08-2007,DII,1334.84,595.84,739,FII/FPI,2591.34,3566.12,-974.78
08-08-2007,DII,1020.25,803.82,216.43,FII/FPI,3005.15,2918.19,86.96
10-08-2007,DII,834,976.68,-142.68,FII/FPI,4281.74,2822.23,1459.51
11-08-2007,DII,1223.6,940.28,283.32,FII/FPI,3190.15,4546.68,-1356.53
13-08-2007,DII,720.81,583.05,137.76,FII/FPI,1593.84,2153.42,-559.58
14-08-2007,DII,765.69,456.75,308.94,FII/FPI,1464.92,1796.44,-331.52
16-08-2007,DII,2156.08,757.18,1398.9,FII/FPI,2404.91,5513.36,-3108.45
17-08-2007,DII,2677.53,733.05,1944.48,FII/FPI,2544.48,6080.24,-3535.76
20-08-2007,DII,686.26,544.23,142.03,FII/FPI,2084.93,2733.86,-648.93
21-08-2007,DII,1413.43,586.59,826.84,FII/FPI,2235.03,2373.27,-138.24
22-08-2007,DII,1115.9,568.61,547.29,FII/FPI,1911.78,2547.97,-636.19
23-08-2007,DII,1268.56,737.84,530.72,FII/FPI,3254.95,2980.31,274.64
24-08-2007,DII,1090.16,689.45,400.71,FII/FPI,1404.72,1679.41,-274.69
27-08-2007,DII,1074.77,881.45,193.32,FII/FPI,2053.46,1358.11,695.35
28-08-2007,DII,641.52,720.84,-79.32,FII/FPI,2458.12,2067.92,390.2
29-08-2007,DII,890.95,825.47,65.48,FII/FPI,2415.39,2579.12,-163.73
30-08-2007,DII,2184.74,1831.78,352.96,FII/FPI,4032.67,4596.33,-563.66
31-08-2007,DII,1262.79,1050.39,212.4,FII/FPI,2874.13,2327.04,547.09
04-09-2007,DII,0,0,0,FII/FPI,1423.75,930.39,493.36
05-09-2007,DII,779.03,892.14,-113.11,FII/FPI,1685.79,1985.81,-300.02
07-09-2007,DII,746.89,983.74,-236.85,FII/FPI,2758.44,1916.8,841.64
08-09-2007,DII,1071.72,999.58,72.14,FII/FPI,2483.86,2456.63,27.23
10-09-2007,DII,1216.27,1745.65,-529.38,FII/FPI,4384.91,2968.19,1416.72
11-09-2007,DII,21.6,22.13,-0.53,FII/FPI,129.47,94.48,34.99
13-09-2007,DII,1006.04,1041.95,-35.91,FII/FPI,2346.89,2340.6,6.29
14-09-2007,DII,976.99,1237.41,-260.42,FII/FPI,3477.32,2191.29,1286.03
17-09-2007,DII,672.7,813.27,-140.57,FII/FPI,2146.26,2051.92,94.34
18-09-2007,DII,920.99,1153.92,-232.93,FII/FPI,2924.34,2900.96,23.38
19-09-2007,DII,1686.85,2015,-328.15,FII/FPI,5767.81,3310.19,2457.62
20-09-2007,DII,1018.2,1582.48,-564.28,FII/FPI,4596.36,2968.92,1627.44
21-09-2007,DII,1442.87,1720.55,-277.68,FII/FPI,3716.81,2954.68,762.13
24-09-2007,DII,1494.45,2164.89,-670.44,FII/FPI,4796.16,3605.63,1190.53
25-09-2007,DII,1084.74,1601.17,-516.43,FII/FPI,4442.69,2946.55,1496.14
26-09-2007,DII,1141.46,1842.89,-701.43,FII/FPI,3622.56,2894.57,727.99
27-09-2007,DII,1837.79,2149.21,-311.42,FII/FPI,7256.37,5029.52,2226.85
28-09-2007,DII,1435.77,1535.9,-100.13,FII/FPI,5265.73,2990.02,2275.71
04-10-2007,DII,0,0,0,FII/FPI,2232.95,1883.3,349.65
05-10-2007,DII,918.11,531.67,386.44,FII/FPI,2001.36,1848.09,153.27
07-10-2007,DII,773.85,980.55,-206.7,FII/FPI,3001.68,2418.66,583.02
08-10-2007,DII,989.81,1005.45,-15.64,FII/FPI,2748.56,3490.86,-742.3
09-10-2007,DII,750.45,740.63,9.82,FII/FPI,1399.48,1589.63,-190.15
10-10-2007,DII,1444.55,2141.37,-696.82,FII/FPI,5817.2,4354.91,1462.29
12-10-2007,DII,1180.94,1411.09,-230.15,FII/FPI,2811.06,3003.18,-192.12
15-10-2007,DII,1688.71,1969.82,-281.11,FII/FPI,7138.65,4270.06,2868.59
16-10-2007,DII,1693.31,1703.36,-10.05,FII/FPI,5665.37,5899.69,-234.32
17-10-2007,DII,1811.98,1526.92,285.06,FII/FPI,5868.28,7880.34,-2012.06
18-10-2007,DII,1886.24,1790.22,96.02,FII/FPI,7066,8196.59,-1130.59
19-10-2007,DII,1758.02,1571.76,186.26,FII/FPI,8192.74,9943.5,-1750.76
22-10-2007,DII,1360.31,1375.64,-15.33,FII/FPI,5545.71,6836.57,-1290.86
23-10-2007,DII,1387.54,1349.9,37.64,FII/FPI,6103.05,5712.34,390.71
24-10-2007,DII,1574.37,1191.14,383.23,FII/FPI,5885.81,4583.94,1301.87
25-10-2007,DII,2372.68,1584.31,788.37,FII/FPI,6922.59,7547.93,-625.34
26-10-2007,DII,2164.77,1198.81,965.96,FII/FPI,3229.55,4466.9,-1237.35
29-10-2007,DII,2009.85,1375.41,634.44,FII/FPI,4568.62,3879.69,688.93
30-10-2007,DII,1839.07,2016.31,-177.24,FII/FPI,4346.73,4735.85,-389.12
31-10-2007,DII,1902.13,1457.88,444.25,FII/FPI,5250.75,5052.01,198.74
04-11-2007,DII,0,0,0,FII/FPI,2086.5,2156.46,-69.96
05-11-2007,DII,925.82,485.77,440.05,FII/FPI,1667.83,2182.09,-514.26
06-11-2007,DII,820.99,583.87,237.12,FII/FPI,2132.55,2158.67,-26.12
07-11-2007,DII,937.56,1252.94,-315.38,FII/FPI,2831.4,2732.06,99.34
09-11-2007,DII,750.4,1195.15,-444.75,FII/FPI,2214.55,1957.96,256.59
10-11-2007,DII,1383.12,1803.23,-420.11,FII/FPI,5961.99,5167.21,794.78
12-11-2007,DII,1593.63,1252.32,341.31,FII/FPI,4049.74,3662.47,387.27
13-11-2007,DII,1779.09,1514.94,264.15,FII/FPI,4770.2,5103.04,-332.84
14-11-2007,DII,1708.16,1141.12,567.04,FII/FPI,4769.91,4606.89,163.02
15-11-2007,DII,1889.36,1303.54,585.82,FII/FPI,3914.47,4067.3,-152.83
16-11-2007,DII,1195.58,955.86,239.72,FII/FPI,3503.69,3866.83,-363.14
19-11-2007,DII,1352.24,1415.69,-63.45,FII/FPI,3818.32,4189.36,-371.04
20-11-2007,DII,1681.08,1217.13,463.95,FII/FPI,4414.79,6215.47,-1800.68
21-11-2007,DII,1600.51,970.45,630.06,FII/FPI,3208.09,5215.79,-2007.7
22-11-2007,DII,2241.49,900.34,1341.15,FII/FPI,1889.01,4376.72,-2487.71
23-11-2007,DII,1274.19,748.33,525.86,FII/FPI,2271.55,2813.43,-541.88
26-11-2007,DII,980.58,706.52,274.06,FII/FPI,3019.5,2969.1,50.4
27-11-2007,DII,1262.29,963.96,298.33,FII/FPI,3408.27,3906.62,-498.35
28-11-2007,DII,1259.43,927.61,331.82,FII/FPI,3192.91,4171.87,-978.96
29-11-2007,DII,1974.7,1368.45,606.25,FII/FPI,5155.11,6268.07,-1112.96
30-11-2007,DII,1948.94,1260.6,688.34,FII/FPI,7242.97,6170.9,1072.07
04-12-2007,DII,0,0,0,FII/FPI,1658.77,1832.35,-173.58
06-12-2007,DII,702.49,783.35,-80.86,FII/FPI,2017.16,1681.86,335.3
07-12-2007,DII,1069.96,1041.1,28.86,FII/FPI,3533.91,2919.83,614.08
09-12-2007,DII,1037.14,1128.46,-91.32,FII/FPI,2333.4,2015.64,317.76
10-12-2007,DII,1242.36,2126.04,-883.68,FII/FPI,5260.25,4944.89,315.36
11-12-2007,DII,1209.86,1143.87,65.99,FII/FPI,4487.18,5681.56,-1194.38
12-12-2007,DII,1727.43,1611.6,115.83,FII/FPI,4575.06,4960.26,-385.2
13-12-2007,DII,1866.63,1639.98,226.65,FII/FPI,3908.34,4310.1,-401.76
14-12-2007,DII,1398.27,1293.09,105.18,FII/FPI,3776.02,4423.12,-647.1
17-12-2007,DII,1307.24,1080.38,226.86,FII/FPI,3351.68,5502.89,-2151.21
18-12-2007,DII,1318.9,659.75,659.15,FII/FPI,3166.59,5903.07,-2736.48
19-12-2007,DII,1542.21,1191.61,350.6,FII/FPI,2506.5,3960.56,-1454.06
20-12-2007,DII,1697.2,806.78,890.42,FII/FPI,2416.46,3183.18,-766.72
24-12-2007,DII,1391,1058.35,332.65,FII/FPI,3324.7,3148.92,175.78
26-12-2007,DII,1857.51,1408.78,448.73,FII/FPI,2345.04,1806.75,538.29
27-12-2007,DII,2475.71,1687.79,787.92,FII/FPI,5578.8,6281.44,-702.64
28-12-2007,DII,1401.46,1234.77,166.69,FII/FPI,2920.56,2266.8,653.76
31-12-2007,DII,1331.68,1774.67,-442.99,FII/FPI,2908.02,2391.96,516.06
01-01-2008,DII,1284.38,977.44,306.94,FII/FPI,888.69,1350.1,-461.41
02-01-2008,DII,1220.8,1336.2,-115.4,FII/FPI,3469.19,3596.12,-126.93
04-01-2008,DII,715.07,1004.63,-289.56,FII/FPI,2609.05,3247.91,-638.86
07-01-2008,DII,785.18,622.68,162.5,FII/FPI,3117.64,2908.21,209.43
08-01-2008,DII,1301.98,905.64,396.34,FII/FPI,2686.71,3273.99,-587.28
09-01-2008,DII,532.82,450.2,82.62,FII/FPI,1299.92,1541.77,-241.85
10-01-2008,DII,845.09,796.44,48.65,FII/FPI,1889.96,2164.86,-274.9
12-01-2008,DII,675.36,626.17,49.19,FII/FPI,1674.62,1645.98,28.64
14-01-2008,DII,1319.73,1513.28,-193.55,FII/FPI,4404.39,4662.05,-257.66
15-01-2008,DII,1229.36,1319.1,-89.74,FII/FPI,5096.81,5461.9,-365.09
16-01-2008,DII,1864.99,1676.02,188.97,FII/FPI,4439.43,6957.02,-2517.59
17-01-2008,DII,2039.72,1304.97,734.75,FII/FPI,4252.65,6520.05,-2267.4
18-01-2008,DII,2031.66,1336.1,695.56,FII/FPI,4417.25,6564.17,-2146.92
21-01-2008,DII,4430.29,1031.09,3399.2,FII/FPI,4295.93,7592.66,-3296.73
22-01-2008,DII,4375.64,1596.93,2778.71,FII/FPI,6172.99,10438.18,-4265.19
23-01-2008,DII,2669.63,1377.87,1291.76,FII/FPI,5730.7,8752.24,-3021.54
24-01-2008,DII,2140.83,1023.8,1117.03,FII/FPI,4686.65,6941.58,-2254.93
25-01-2008,DII,1475.88,1227.53,248.35,FII/FPI,4689.63,4481.15,208.48
28-01-2008,DII,1155.28,557.34,597.94,FII/FPI,2478.9,3517.35,-1038.45
29-01-2008,DII,762.03,663.21,98.82,FII/FPI,2874.72,3420.81,-546.09
30-01-2008,DII,1432.25,709.14,723.11,FII/FPI,2635.54,3546.54,-911
31-01-2008,DII,3145.68,985.33,2160.35,FII/FPI,5103.07,9041.07,-3938
01-02-2008,DII,1610.49,1183.38,427.11,FII/FPI,3798.13,4426.81,-628.68
04-02-2008,DII,1097.88,833.51,264.37,FII/FPI,2792.79,2928.44,-135.65
05-02-2008,DII,1128.9,1146.9,-18,FII/FPI,3662.69,3004.35,658.34
06-02-2008,DII,699.85,690.04,9.81,FII/FPI,2497.04,2846.88,-349.84
07-02-2008,DII,1029.32,608.31,421.01,FII/FPI,3666.14,4334.57,-668.43
09-02-2008,DII,1350.5,1140.71,209.79,FII/FPI,2799.13,1666.88,1132.25
12-02-2008,DII,676.34,571.03,105.31,FII/FPI,891.62,1214.63,-323.01
13-02-2008,DII,778.74,755.15,23.59,FII/FPI,3828.13,3818.73,9.4
14-02-2008,DII,1115.45,910.42,205.03,FII/FPI,3925.69,3864.7,60.99
15-02-2008,DII,948.85,810.19,138.66,FII/FPI,3286.76,3025.56,261.2
18-02-2008,DII,640.96,775.12,-134.16,FII/FPI,1519.44,1861.52,-342.08
19-02-2008,DII,1023.41,1071.7,-48.29,FII/FPI,2686.93,2357.68,329.25
20-02-2008,DII,994.98,738.8,256.18,FII/FPI,2876.67,3143.11,-266.44
21-02-2008,DII,748.8,889.48,-140.68,FII/FPI,2671.51,2462.08,209.43
22-02-2008,DII,679.11,573.62,105.49,FII/FPI,2254.02,2963.56,-709.54
25-02-2008,DII,986.13,1302.62,-316.49,FII/FPI,3164.03,2380.17,783.86
26-02-2008,DII,1250.15,738.82,511.33,FII/FPI,2327.66,2359.65,-31.99
27-02-2008,DII,1365.24,1023.89,341.35,FII/FPI,3378,3027.55,350.45
28-02-2008,DII,2096.11,1363.73,732.38,FII/FPI,3536.38,4345.48,-809.1
29-02-2008,DII,1719.28,976.49,742.79,FII/FPI,3712.39,4047.26,-334.87
01-03-2008,DII,2024.5,1497.85,526.65,FII/FPI,5409.98,5654.54,-244.56
03-03-2008,DII,1283.3,1202.83,80.47,FII/FPI,3416.87,4128.18,-711.31
04-03-2008,DII,1122.23,856.84,265.39,FII/FPI,2717.21,3110.62,-393.41
06-03-2008,DII,980.14,717.65,262.49,FII/FPI,2900.14,3920.84,-1020.7
07-03-2008,DII,1116.88,590.78,526.1,FII/FPI,3090.22,3697.14,-606.92
10-03-2008,DII,1013.86,957.11,56.75,FII/FPI,2793.65,4455.91,-1662.26
11-03-2008,DII,848.11,945.14,-97.03,FII/FPI,2430.17,2066.62,363.55
12-03-2008,DII,739.25,373.01,366.24,FII/FPI,888.39,1340.5,-452.11
13-03-2008,DII,1173.42,1116.98,56.44,FII/FPI,3676.08,3784.58,-108.5
14-03-2008,DII,1105.08,1004.75,100.33,FII/FPI,3396.6,3754.6,-358
17-03-2008,DII,1127.88,916.4,211.48,FII/FPI,3738.31,4396.53,-658.22
18-03-2008,DII,1116.35,939.02,177.33,FII/FPI,4488.64,5499.69,-1011.05
19-03-2008,DII,1629.04,1486.85,142.19,FII/FPI,3828.16,3797.62,30.54
24-03-2008,DII,836.61,1089.88,-253.27,FII/FPI,2884.39,2508.26,376.13
25-03-2008,DII,1413.7,1013.73,399.97,FII/FPI,5020.45,3774.33,1246.12
26-03-2008,DII,1063.92,1172.57,-108.65,FII/FPI,3133.5,2739.59,393.91
27-03-2008,DII,1785.81,1445.97,339.84,FII/FPI,4806.56,4558.58,247.98
28-03-2008,DII,1643.62,914.12,729.5,FII/FPI,3062.5,3464.45,-401.95
31-03-2008,DII,1880.72,1314.69,566.03,FII/FPI,2959.05,3824.84,-865.79
01-04-2008,DII,1952.45,1445.6,506.85,FII/FPI,4542.3,4526.29,16.01
02-04-2008,DII,1644.83,913,731.83,FII/FPI,3341.15,3177.41,163.74
03-04-2008,DII,1145.71,975.48,170.23,FII/FPI,3553.38,4065.71,-512.33
04-04-2008,DII,1375.67,795.83,579.84,FII/FPI,2827.05,3675.62,-848.57
06-04-2008,DII,1221.85,802.04,419.81,FII/FPI,3035.54,4234.34,-1198.8
07-04-2008,DII,685.58,782.6,-97.02,FII/FPI,2913.7,2541.35,372.35
08-04-2008,DII,826.93,873.9,-46.97,FII/FPI,1808.44,2316.25,-507.81
09-04-2008,DII,1043.16,612.05,431.11,FII/FPI,2604.19,3207.47,-603.28
11-04-2008,DII,784.89,959.09,-174.2,FII/FPI,1954.28,1969.89,-15.61
12-04-2008,DII,684.63,605.39,79.24,FII/FPI,1707.29,1400.15,307.14
15-04-2008,DII,738.61,725.34,13.27,FII/FPI,3525.96,3582.48,-56.52
16-04-2008,DII,917.28,1007.36,-90.08,FII/FPI,2936.94,2986.83,-49.89
17-04-2008,DII,1050.23,1110.1,-59.87,FII/FPI,4044.04,3446.51,597.53
21-04-2008,DII,947.7,836.12,111.58,FII/FPI,2855.94,2686.28,169.66
22-04-2008,DII,1048.15,1167.69,-119.54,FII/FPI,2687.64,2394.68,292.96
23-04-2008,DII,1094.35,1024.31,70.04,FII/FPI,2736.2,3217.13,-480.93
24-04-2008,DII,1358.92,916.04,442.88,FII/FPI,3625.42,4384.58,-759.16
